passenger_id,survived,sex,age,sibsp,parch,fare,class,embark_town
af1089fa-c928-4719-94ec-4bdb0aa90e8a,0,male,22.0,1,0,7.25,Third,Southampton
5f616a6d-f338-4360-9d7b-3b92196dd350,1,female,38.0,1,0,71.2833,First,Cherbourg
34ad8431-f090-40d0-a1c9-50fe2cb39979,1,female,26.0,0,0,7.925,Third,Southampton
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,1,female,35.0,1,0,53.1,First,Southampton
0ee5b915-66c7-42d4-ba2d-5c0703633ccc,0,male,35.0,0,0,8.05,Third,Southampton
0cd09886-0f40-4df5-9518-10de16c729c8,0,male,,0,0,8.4583,Third,Queenstown
7972c206-6fc7-42bd-8329-8e7bed602cb8,0,male,54.0,0,0,51.8625,First,Southampton
8ad3c96c-0a2c-47d4-b41b-f5a76ae9eb6f,0,male,2.0,3,1,21.075,Third,Southampton
31f5075b-252f-4fe8-9806-472e2e75a34a,1,female,27.0,0,2,11.1333,Third,Southampton
97544845-f25a-48f4-a544-a408eab2ed7a,1,female,14.0,1,0,30.0708,Second,Cherbourg
eea471ef-d405-4d53-8564-bfe633c8bdfa,1,female,4.0,1,1,16.7,Third,Southampton
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,1,female,58.0,0,0,26.55,First,Southampton
0daac79f-37ba-422f-92d8-d31b76db2047,0,male,20.0,0,0,8.05,Third,Southampton
5abc7cb1-bf1a-47cd-ba0e-dfe055d7889d,0,male,39.0,1,5,31.275,Third,Southampton
d0720e08-33d9-4635-8013-2bb9742421fa,0,female,14.0,0,0,7.8542,Third,Southampton
41b52864-e390-4d0b-8469-747c55b3c578,1,female,55.0,0,0,16.0,Second,Southampton
f46a0315-89ad-41e0-a7fe-b54eebea2da6,0,male,2.0,4,1,29.125,Third,Queenstown
80c7f5a8-4f8c-41a5-bbb4-89f846145185,1,male,,0,0,13.0,Second,Southampton
7364c7f1-4182-4fd8-b830-306b914cb226,0,female,31.0,1,0,18.0,Third,Southampton
e2f03352-3802-450d-ab0f-663805545227,1,female,,0,0,7.225,Third,Cherbourg
b9cc2f8b-2777-42b3-9a66-9fa3aa3dfe11,0,male,35.0,0,0,26.0,Second,Southampton
9e21084d-4ab4-476f-802b-96ded745b7b2,1,male,34.0,0,0,13.0,Second,Southampton
c4b88359-5c4f-4760-aab3-f499a04b51c6,1,female,15.0,0,0,8.0292,Third,Queenstown
9f3d2647-569f-43f8-8d5c-2ba6afdeeab0,1,male,28.0,0,0,35.5,First,Southampton
1ed737c1-1dce-4ca1-96a3-dd4c95556299,0,female,8.0,3,1,21.075,Third,Southampton
0ce78cd0-2ca1-408b-ae3d-c4e1bbf013fb,1,female,38.0,1,5,31.3875,Third,Southampton
79507ff7-7fa6-4c59-9b25-192e87d2458c,0,male,,0,0,7.225,Third,Cherbourg
827a11d9-04e9-4074-962b-65339f16ab54,0,male,19.0,3,2,263.0,First,Southampton
46ddcb61-0c04-47b6-9107-a062a82b41fa,1,female,,0,0,7.8792,Third,Queenstown
5e78bb80-9be5-4367-98bb-f59e96c316f4,0,male,,0,0,7.8958,Third,Southampton
cf4ff8bc-f064-49a8-bc3b-05cb56c31d92,0,male,40.0,0,0,27.7208,First,Cherbourg
14e7668c-c4d6-4cdc-8251-1d5d0f62f3af,1,female,,1,0,146.5208,First,Cherbourg
8083c78e-a3bd-43dc-ba9b-e0c83af75312,1,female,,0,0,7.75,Third,Queenstown
45d7967a-c215-4735-b145-5d9599102d06,0,male,66.0,0,0,10.5,Second,Southampton
abd59e83-7498-40a1-b250-385e4541c3e2,0,male,28.0,1,0,82.1708,First,Cherbourg
40be1512-f7fb-4c42-80a6-c510d55d15c8,0,male,42.0,1,0,52.0,First,Southampton
77dd9f59-9055-4531-8678-ab010e17df35,1,male,,0,0,7.2292,Third,Cherbourg
29dbeaa4-25bd-44fb-b037-5fab42d8f510,0,male,21.0,0,0,8.05,Third,Southampton
cacb0b79-dd72-4f75-a4a4-687f1098af74,0,female,18.0,2,0,18.0,Third,Southampton
a00737e8-52fc-43af-9675-82d76438b466,1,female,14.0,1,0,11.2417,Third,Cherbourg
d4649521-ea99-499e-ae92-718824299df2,0,female,40.0,1,0,9.475,Third,Southampton
dde74231-103e-44dd-af35-6f5b13d7dbed,0,female,27.0,1,0,21.0,Second,Southampton
8afde8cf-b597-4784-8728-aa27ac394e09,0,male,,0,0,7.8958,Third,Cherbourg
baf0c757-c7f3-4bcf-aef4-88db7cad1e4a,1,female,3.0,1,2,41.5792,Second,Cherbourg
