country,country_code,region,income_level,college_share,inflation,gdp,gdp_capita,gdp_growth,life_expect,population,unemployment,gini,temp_c
Angola,AGO,Middle East & Africa,Lower middle income,9.3,27.2,99013511554,3111,-0.6,60.8,31825295,6.8,51.3,21.6
Albania,ALB,Europe,Upper middle income,59.8,0.4,14872299622,5211,2.2,78.5,2854191,12.8,33.2,11.4
Argentina,ARG,Americas,Upper middle income,90.0,50.6,437813398154,9742,-2.1,76.5,44938712,10.4,41.4,14.8
Armenia,ARM,Europe,Upper middle income,51.5,1.5,13996188672,4732,7.6,74.9,2957731,16.6,34.4,7.2
Australia,AUS,Asia Pacific,High income,107.8,3.4,1450499018770,57187,2.2,82.7,25364307,5.3,34.4,21.7
Austria,AUT,Europe,High income,86.7,1.7,448761534683,50553,1.4,81.7,8877067,4.8,29.7,6.4
Azerbaijan,AZE,Asia Pacific,Upper middle income,31.5,-0.2,58937036212,5880,2.2,72.9,10023318,6.0,26.6,12.0
Burundi,BDI,Middle East & Africa,Low income,4.1,0.8,2399222285,208,1.8,61.2,11530580,1.4,38.6,20.8
Belgium,BEL,Europe,High income,78.9,1.7,546851155613,47618,1.7,81.6,11484055,5.7,27.4,9.6
Benin,BEN,Middle East & Africa,Lower middle income,12.5,-0.3,14867185273,1260,6.9,61.5,11801151,2.0,47.8,27.6
Burkina Faso,BFA,Middle East & Africa,Low income,7.1,-0.6,16708316591,822,5.7,61.2,20321378,6.4,35.3,28.3
Bangladesh,BGD,Asia Pacific,Lower middle income,24.0,4.5,209974367462,1288,8.2,72.3,163046161,4.2,32.4,25.0
Bulgaria,BGR,Europe,Upper middle income,71.5,5.3,63191572278,9059,3.7,75.0,6975761,3.8,40.4,10.6
Bosnia and Herzegovina,BIH,Europe,Upper middle income,40.2,2.6,20808476283,6304,2.7,77.3,3301000,18.4,33.0,9.9
Belarus,BLR,Europe,Upper middle income,87.4,6.6,63224483612,6679,1.2,74.2,9466856,4.6,25.2,6.2
Belize,BLZ,Americas,Upper middle income,25.0,0.2,1619911044,4150,0.3,74.5,390353,6.4,53.3,25.3
Brazil,BRA,Americas,Upper middle income,43.5,4.2,2347237948499,11122,1.1,75.7,211049527,12.0,53.9,25.0
Botswana,BWA,Middle East & Africa,Upper middle income,25.1,0.6,18643744000,8093,3.0,69.3,2303697,18.7,53.3,21.5
Central African Republic,CAF,Middle East & Africa,Low income,3.0,2.4,1822841757,384,3.0,52.8,4745185,3.7,56.2,24.9
Canada,CAN,Americas,High income,70.1,1.9,1939183469806,51589,1.7,81.9,37589262,5.4,33.3,-5.4
Switzerland,CHE,Europe,High income,61.4,0.4,680898749177,79407,0.9,83.8,8574832,4.8,32.7,5.5
Chile,CHL,Americas,High income,90.9,2.7,286013743470,15091,1.1,80.0,18952038,7.1,44.4,8.5
China,CHN,Asia Pacific,Upper middle income,53.8,1.6,11537484336928,8255,6.1,76.7,1397715000,4.4,38.5,7.0
Cote d'Ivoire,CIV,Middle East & Africa,Lower middle income,9.3,0.2,44419766992,1727,6.2,57.4,25716544,3.4,41.5,26.4
Cameroon,CMR,Middle East & Africa,Lower middle income,14.3,2.5,39288422139,1518,3.7,58.9,25876380,3.4,46.6,24.6
"Congo, Dem. Rep.",COD,Middle East & Africa,Low income,6.6,4.7,36767977989,424,4.4,60.4,86790567,4.3,42.1,24.0
"Congo, Rep.",COG,Middle East & Africa,Lower middle income,12.7,-0.8,11654686638,2166,-3.5,64.3,5380508,9.3,48.9,24.6
Colombia,COL,Americas,Upper middle income,55.3,4.3,394571111125,7838,3.3,77.1,50339443,9.7,50.4,24.5
Cabo Verde,CPV,Middle East & Africa,Lower middle income,23.6,0.6,2148955357,3908,5.7,72.8,549935,12.3,42.4,27.0
Costa Rica,CRI,Americas,Upper middle income,57.7,1.8,50712542521,10047,2.1,80.1,5047561,12.7,48.0,24.8
Cyprus,CYP,Europe,High income,81.3,0.9,28678431658,23927,3.1,80.8,1198575,7.2,31.4,19.5
Czech Republic,CZE,Europe,High income,63.8,3.9,258911043396,24266,2.3,79.0,10669709,1.9,24.9,7.6
Germany,DEU,Europe,High income,70.3,2.2,3944379455526,47447,0.6,80.9,83132799,3.0,31.9,8.5
Djibouti,DJI,Middle East & Africa,Lower middle income,5.3,2.4,1128611700,1159,7.8,66.6,973560,10.3,41.6,28.0
Denmark,DNK,Europe,High income,81.2,0.7,382978543873,65820,2.8,81.0,5818553,4.8,28.7,2.7
Dominican Republic,DOM,Americas,Upper middle income,59.9,2.5,85937885078,8002,5.1,73.9,10738958,5.9,43.7,24.6
Algeria,DZA,Middle East & Africa,Lower middle income,51.4,-0.9,202339167644,4700,0.8,76.7,43053054,11.5,27.6,18.8
Ecuador,ECU,Americas,Upper middle income,44.9,-0.2,88554747783,5097,0.1,76.8,17373662,4.2,45.4,21.9
"Egypt, Arab Rep.",EGY,Middle East & Africa,Lower middle income,35.2,13.6,302183451077,3010,5.6,71.8,100388073,10.1,31.5,22.1
Spain,ESP,Europe,High income,91.1,1.4,1572012697558,33393,2.0,83.4,47076781,13.0,34.7,13.3
Estonia,EST,Europe,High income,70.4,3.2,27667385533,20856,5.0,78.2,1326590,5.4,30.4,5.1
Ethiopia,ETH,Middle East & Africa,Low income,8.1,12.9,67542461143,603,8.4,66.2,112078730,2.1,35.0,22.2
Finland,FIN,Europe,High income,90.3,1.8,272688247152,49397,1.1,81.7,5520314,6.7,27.4,1.7
