passenger_id,bag_number,bag_type,weight_kgs
af1089fa-c928-4719-94ec-4bdb0aa90e8a,1,duffel_bag,23.0
af1089fa-c928-4719-94ec-4bdb0aa90e8a,2,small_suitcase,11.1
5f616a6d-f338-4360-9d7b-3b92196dd350,1,suitcase,43.7
5f616a6d-f338-4360-9d7b-3b92196dd350,2,hat_box,18.8
5f616a6d-f338-4360-9d7b-3b92196dd350,3,wardrobe_trunk,45.2
34ad8431-f090-40d0-a1c9-50fe2cb39979,1,cloth_bundle,22.6
34ad8431-f090-40d0-a1c9-50fe2cb39979,2,cloth_bundle,10.2
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,1,jewelry_case,49.0
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,2,trunk,22.9
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,3,suitcase,31.1
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,4,suitcase,36.8
0ee5b915-66c7-42d4-ba2d-5c0703633ccc,1,small_suitcase,22.7
0cd09886-0f40-4df5-9518-10de16c729c8,1,canvas_bag,13.7
0cd09886-0f40-4df5-9518-10de16c729c8,2,small_suitcase,5.8
7972c206-6fc7-42bd-8329-8e7bed602cb8,1,trunk,45.3
7972c206-6fc7-42bd-8329-8e7bed602cb8,2,trunk,29.8
7972c206-6fc7-42bd-8329-8e7bed602cb8,3,wardrobe_trunk,30.0
7972c206-6fc7-42bd-8329-8e7bed602cb8,4,trunk,29.1
8ad3c96c-0a2c-47d4-b41b-f5a76ae9eb6f,1,duffel_bag,13.3
31f5075b-252f-4fe8-9806-472e2e75a34a,1,duffel_bag,17.8
31f5075b-252f-4fe8-9806-472e2e75a34a,2,canvas_bag,5.3
97544845-f25a-48f4-a544-a408eab2ed7a,1,travel_bag,17.4
97544845-f25a-48f4-a544-a408eab2ed7a,2,suitcase,11.4
97544845-f25a-48f4-a544-a408eab2ed7a,3,leather_case,10.1
eea471ef-d405-4d53-8564-bfe633c8bdfa,1,duffel_bag,6.1
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,1,hat_box,31.4
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,2,trunk,43.9
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,3,trunk,26.0
95f4c6e2-46fb-436f-b26c-8d8eff9ec158,4,hat_box,37.7
0daac79f-37ba-422f-92d8-d31b76db2047,1,cloth_bundle,23.1
0daac79f-37ba-422f-92d8-d31b76db2047,2,small_suitcase,16.1
5abc7cb1-bf1a-47cd-ba0e-dfe055d7889d,1,cloth_bundle,5.4
d0720e08-33d9-4635-8013-2bb9742421fa,1,small_suitcase,13.6
41b52864-e390-4d0b-8469-747c55b3c578,1,suitcase,26.9
41b52864-e390-4d0b-8469-747c55b3c578,2,suitcase,19.8
41b52864-e390-4d0b-8469-747c55b3c578,3,travel_bag,13.3
f46a0315-89ad-41e0-a7fe-b54eebea2da6,1,cloth_bundle,8.6
80c7f5a8-4f8c-41a5-bbb4-89f846145185,1,small_trunk,33.5
80c7f5a8-4f8c-41a5-bbb4-89f846145185,2,travel_bag,19.0
7364c7f1-4182-4fd8-b830-306b914cb226,1,canvas_bag,15.3
