passenger_id,restaurant_name,date,meal_type,meal_time
af1089fa-c928-4719-94ec-4bdb0aa90e8a,Third-Class Dining Room,1912-04-10,fish,breakfast
af1089fa-c928-4719-94ec-4bdb0aa90e8a,Third-Class Dining Room,1912-04-13,fish,breakfast
af1089fa-c928-4719-94ec-4bdb0aa90e8a,Third-Class Dining Room,1912-04-13,fish,dinner
5f616a6d-f338-4360-9d7b-3b92196dd350,First-Class Dining Saloon,1912-04-10,meat,breakfast
5f616a6d-f338-4360-9d7b-3b92196dd350,The Ritz,1912-04-10,poultry,dinner
5f616a6d-f338-4360-9d7b-3b92196dd350,Café Parisien,1912-04-11,vegetarian,breakfast
5f616a6d-f338-4360-9d7b-3b92196dd350,First-Class Dining Saloon,1912-04-11,poultry,lunch
5f616a6d-f338-4360-9d7b-3b92196dd350,The Ritz,1912-04-11,vegetarian,dinner
5f616a6d-f338-4360-9d7b-3b92196dd350,The Ritz,1912-04-12,vegetarian,breakfast
5f616a6d-f338-4360-9d7b-3b92196dd350,Verandah Cafe,1912-04-12,meat,lunch
5f616a6d-f338-4360-9d7b-3b92196dd350,First-Class Dining Saloon,1912-04-12,meat,dinner
5f616a6d-f338-4360-9d7b-3b92196dd350,Verandah Cafe,1912-04-13,vegetarian,breakfast
5f616a6d-f338-4360-9d7b-3b92196dd350,Café Parisien,1912-04-13,fish,lunch
5f616a6d-f338-4360-9d7b-3b92196dd350,Café Parisien,1912-04-13,meat,dinner
5f616a6d-f338-4360-9d7b-3b92196dd350,The Ritz,1912-04-14,poultry,lunch
5f616a6d-f338-4360-9d7b-3b92196dd350,Café Parisien,1912-04-14,meat,dinner
34ad8431-f090-40d0-a1c9-50fe2cb39979,Third-Class Dining Room,1912-04-11,poultry,breakfast
34ad8431-f090-40d0-a1c9-50fe2cb39979,Third-Class Dining Room,1912-04-13,poultry,breakfast
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,First-Class Dining Saloon,1912-04-10,fish,breakfast
3bcdceb3-f1dd-4ef2-a9dc-089c13f54a27,The Ritz,1912-04-10,poultry,lunch
